serviceid,branch,contractterm,serviceactivestatus,programmodel,campus,teachingorg,fulladdress,servicename,fundingSource,secondaryFundingSource,FundedBy_OtherSpecify,budgetcategory,initiative,budgetstatus,StaffEligibleToRecruit,StaffEligibleToStart,ContractStatus,ContractSentDate,LastContactDate,ContractNotes,TeachingOrg_SignedBudgetDate,TeachingOrg_SignedContractDate,TeachingOrg_CompletedDate,is501c3,Contract End Date,letterofgoodstandingdate,Insurance,firstname0,lastname0,email0,roles0,docs0,bg0,firstname1,lastname1,email1,roles1,docs1,bg1,firstname2,lastname2,email2,roles2,docs2,bg2,firstname3,lastname3,email3,roles3,docs3,bg3,firstname4,lastname4,email4,roles4,docs4,bg4,firstname5,lastname5,email5,roles5,docs5,bg5,firstname6,lastname6,email6,roles6,docs6,bg6,firstname7,lastname7,email7,roles7,docs7,bg7,firstname8,lastname8,email8,roles8,docs8,bg8,ProgramSpecialists,ProgramManagers,ContractAdmins,pc1,pc2,pc3,emails,ContentArea,SubContentArea,Category,edocid
7670690,South/Southwest,Full Year,Active,Apprenticeship,,Action Network,"3512 POPE STREET SE WASHINGTON, DC 20020",Spoken Word & Hip Hop,,,,42032066,,Approved/Locked,,test test test,Complete,3/7/2018,3/5/2019,test data for github,8/14/2019,3/25/2019,5/6/2019,Y,6/30/2020,5/24/2019,OK,Aiko,Palladino,testemail(at)test,Community Liaison; Instructor,,XYZ Exempt,Velma,Panke,testemail(at)test,Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marina Esparza,Yesenia Alvarez,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Performance Arts,Spoken Word,93308
7670696,North/Northwest,Full Year,Active,Apprenticeship,,Art on the Grove,"3505 CARPENTER STREET SE WASHINGTON, DC 20020",Impactful Art,,,,22033076,,Approved/Locked,test test test,test test test,Incomplete,3/7/2018,4/18/2018,test data for github,10/11/2019,3/25/2019,10/11/2019,Y,6/30/2020,9/27/2019,OK,Aileen,Pallafor,testemail(at)test,Community Liaison; Contract Administrator,,XYZ Exempt,Velva,Pankey,testemail(at)test,Instructor,,XYZ Exempt,Xochitl,Elshair,testemail(at)test,Instructor,,XYZ Exempt,Merlene,Euler,testemail(at)test,Instructor,,XYZ Exempt,Nakesha,Eyster,testemail(at)test,Instructor,,XYZ Exempt,Sharita,Berard,testemail(at)test,Instructor,Confidential Missing; Social Media Policy Missing,XYZ Exempt,,,,,,,,,,,,,,,,,,,Muriel Colette,Chris Sorensen,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Visual Art,Painting,93110
7729677,North/Northwest,School Year,Active,Internship,,Green Thumbs,"402 CONSTITUTION AVENUE NE WASHINGTON, DC 20002",Advanced Green Thumbs,,,,62032320,,Approved/Locked,,test test test,Complete,12/3/2019,3/5/2019,test data for github,12/20/2019,3/25/2019,12/20/2019,Y,6/30/2020,5/24/2019,OK,Ailene,Pallan,testemail(at)test,Community Liaison; Contract Administrator; Site Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,STEM,Natural Science,Environmental,99299
7761766,North/Northwest,,Active,Event,,ABC Org,"3442 HIGHWOOD DRIVE SE WASHINGTON, DC 20020",ABC University (8th and 9th Grade),,,,,Immersion,,,test test test,Incomplete,,,test data for github,,,,N,,,"Need higher limits, ABC not certificate holder, ABC not additionally insured, WC Missing, Liability Missing",Aimee,Pallanes,testemail(at)test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,,,,,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,81269
7761750,North/Northwest,,Active,Event,,ABC Org,"3442 HIGHWOOD DRIVE SE WASHINGTON, DC 20020",ABC University (11th and 12th grade),,,,,Immersion,,,test test test,Incomplete,,,test data for github,,,,N,,,"Need higher limits, ABC not certificate holder, ABC not additionally insured, WC Missing, Liability Missing",Aisha,Pallansch,testemail(at)test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,,,,,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,81268
7670571,North/Northwest,Full Year,Active,Apprenticeship,,AlternaSchool,"216 5TH STREET NE WASHINGTON, DC 20002",Culinary Adventures,,,,22030472,,Approved/Locked,,test test test,Complete,3/24/2015,5/15/2018,test data for github,6/10/2019,3/13/2019,5/7/2019,Y,6/30/2020,10/3/2019,OK,Aja,Pallant,testemail(at)test,Community Liaison; Contract Administrator,,,Venetta,Panko,testemail(at)test,Instructor,,XYZ Exempt,Yael,Elsinger,testemail(at)test,Community Liaison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muriel Colette,Chris Sorensen,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Culinary Art,Food Preparation and Plating,93002
7670569,North/Northwest,Full Year,Active,Apprenticeship,,TOP Family,"3370 HIGHWOOD DRIVE SE WASHINGTON, DC 20020",Sound Work Live,,,,22032202,,Approved/Locked,,test test test,Complete,3/7/2018,1/4/2019,test data for github,9/25/2019,3/18/2019,9/25/2019,Y,6/30/2020,5/24/2019,OK,Akiko,Pallante,testemail(at)test,Community Liaison,,,Venice,Pankow,testemail(at)test,Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Leija,Chris Sorensen,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,STEM,Audio / Visual Technology,Music Production,92993
7716679,North/Northwest,,Active,Internship,,Bikes for All,"3336 HIGHWOOD DRIVE SE WASHINGTON, DC 20020",Bike Mechanic School Level 1,,,,,,,,test test test,Incomplete,9/2/2016,9/12/2016,test data for github,,,,Y,6/30/2017,3/23/2016,"WC Expired, Liability Expired",Akilah,Pallares,testemail(at)test,Community Liaison; Contract Administrator; Site Supervisor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,test at test (test(at)testdotcom,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,81006
7670600,North/Northwest,Full Year,Active,Internship,,United for All,"3318 HIGHWOOD DRIVE SE WASHINGTON, DC 20020",Bike Mechanic School Level 2,,,,62030229,Advanced Internship,Approved/Locked,,test test test,Incomplete,3/16/2018,1/4/2019,test data for github,5/2/2019,3/13/2019,5/2/2019,Y,6/30/2020,3/12/2019,OK,Al,Pallas,testemail(at)test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebecca Deane,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,STEM,Applied Science,,92994
7670609,North/Northwest,Full Year,Active,Apprenticeship,,United for All,"3318 HIGHWOOD DRIVE SE WASHINGTON, DC 20020",Bikes R Us,,,,22032434,,Approved/Locked,,test test test,Complete,3/16/2018,1/4/2019,test data for github,11/12/2019,3/13/2019,5/2/2019,Y,6/30/2020,3/12/2019,OK,Alaina,Pallazzo,testemail(at)test,Community Liaison; Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Gonzalez,Selena Miller,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Sports,Health and Wellness,Fitness,92993
7670626,North/Northwest,Full Year,Active,Apprenticeship,,Builders Inc,"1336 VARNUM STREET NE WASHINGTON, DC 20017",Build Your Brand,,,,22030222,,Approved/Locked,,test test test,Complete,3/7/2018,1/4/2019,test data for github,5/8/2019,3/18/2019,5/8/2019,Y,6/30/2020,5/24/2019,OK,Alaine,Pallerino,testemail(at)test,Community Liaison; Instructor,,XYZ Exempt,Veola,Pannell,testemail(at)test,Instructor,,XYZ Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiki Meyers,Selena Miller,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Visual Art,Jewelry Making,93005
7716516,,Full Year,Active,Internship,,Grove Helios,"1334 VARNUM STREET NE WASHINGTON, DC 20017",Coffee House Internship,,,,62032629,,Approved/Locked,,test test test,Incomplete,,,test data for github,,,,n/a,6/30/2020,6/26/2019,Liability Expired,Alan,Palleschi,testemail(at)test,Community Liaison; Contract Administrator; Site Supervisor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,test at test (test(at)testdotcom,test at test (test(at)testdotcom,,,test(at)testdotcom,Communications & Leadership,Business / Administration,,96543
7661656,North/Northwest,Full Year,Active,Apprenticeship,,Lights Urban Farm,"1332 MICHIGAN AVENUE NE WASHINGTON, DC 20017",Harvest A New Day,,,,22032206,,Approved/Locked,,test test test,Incomplete,3/23/2015,4/12/2019,test data for github,5/3/2019,4/1/2019,5/3/2019,Y,6/30/2020,11/20/2019,OK,Alana,Pallesen,testemail(at)test,Community Liaison; Instructor,,,Verda,Pannhoff,testemail(at)test,Instructor,,,Yasmine,Elstner,testemail(at)test,Community Liaison,MR Cert Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muriel Colette,Chris Sorensen,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,STEM,Natural Science,Environmental,93991
7716671,,School Year,Active,Internship,,Library Services Dept,"627 BUCHANAN STREET NE WASHINGTON, DC 20017",Library Internship at Grove Library,,,,,,,,test test test,Incomplete,9/25/2015,,test data for github,,,,Y,6/30/2018,1/1/2099,OK,Alane,Pallet,testemail(at)test,Community Liaison; Contract Administrator; Site Supervisor,MR Cert Missing,ABC Missing; XYZ Missing; IJK Missing,Verdell,Panning,testemail(at)test,Community Liaison; Site Supervisor,,XYZ Exempt,Yasuko,Elston,testemail(at)test,Community Liaison; Site Supervisor,Confidential Missing; Contact Info Missing; Education Form Missing; Experience Form Missing; MR Ack Missing; MVOAY Missing; NSOPW Missing; PACR (ORG) Missing; Social Media Policy Missing,ABC Missing; XYZ Exempt; IJK Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,test at test (test(at)testdotcom,,,,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,99323
7716651,South/Southwest,School Year,Active,Internship,,CYC Fellows,"606 ALLISON STREET NE WASHINGTON, DC 20017",Fellows of St. Mary Internship,,,,,,Approved/Locked,,test test test,Incomplete,,,test data for github,,,,Y,,,"Need higher limits, ABC not certificate holder, ABC not additionally insured, WC Missing, Liability Missing",Alanna,Pallett,testemail(at)test,Community Liaison; Site Supervisor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,,,,,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,99316
7716669,South/Southwest,School Year,Active,Internship,,CYC Fellows,"606 ALLISON STREET NE WASHINGTON, DC 20017",Fellows of St. Mary Assistants,,,,,,Approved/Locked,,test test test,Incomplete,,,test data for github,,,,N,,,"Need higher limits, ABC not certificate holder, ABC not additionally insured, WC Missing, Liability Missing",Alayna,Palley,testemail(at)test,Community Liaison; Site Supervisor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,,,,,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,99319
7670671,Downtown,School Year,Active,Internship,,Library Services Dept,"627 BUCHANAN STREET NE WASHINGTON, DC 20017",Literary Salon,,,,72032422,,,test test test,test test test,Incomplete,9/25/2015,,test data for github,,,,Y,6/30/2018,1/1/2099,OK,Alba,Pallino,testemail(at)test,Community Liaison; Contract Administrator,Education Form Missing; Experience Form Missing; MR Ack Expired; MR Cert Missing; PACR (ORG) Expired; Social Media Policy Missing,XYZ Exempt,Vergie,Panny,testemail(at)test,Instructor,PACR (ORG) Expired,XYZ Exempt,Yen,Elquist,testemail(at)test,Community Liaison; Site Supervisor,MR Ack Expired; NSOPW Expired; PACR (ORG) Expired,XYZ Exempt; IJK Missing,Mica,Eustice,testemail(at)test,Instructor,Confidential Missing; Contact Info Missing; Education Form Missing; Experience Form Missing; MR Ack Missing; PACR (ORG) Missing; Social Media Policy Missing,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hanako Kato,DeMario Meador,test at test (test(at)testdotcom,,,,test(at)testdotcom,Communications & Leadership,Marketing,Social Media,92952
7670675,South/Southwest,Full Year,Active,Apprenticeship,Julian,Champion Inc,"626 CONSTITUTION AVENUE NE WASHINGTON, DC 20002",Self-Defense and Empowerment,,,,42030244,,Approved/Locked,,test test test,Complete,3/7/2018,4/12/2019,test data for github,6/11/2019,3/13/2019,6/11/2019,Y,6/30/2020,6/11/2019,OK,Albert,Pallone,testemail(at)test,Community Liaison; Instructor,,,Verla,Pano,testemail(at)test,Instructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leah Walker,Yesenia Alvarez,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,93282
7716696,North/Northwest,School Year,Active,Internship,,Aid Assocation,"4630 12TH STREET NE WASHINGTON, DC 20017",Tutoring Scholars,,,,,,Approved/Locked,,test test test,Incomplete,3/7/2018,4/5/2018,test data for github,,,,Y,6/30/2020,3/29/2019,OK,Alberta,Pallotta,testemail(at)test,Community Liaison; Site Supervisor,,XYZ Exempt,Verlene,Panone,testemail(at)test,Community Liaison; Site Supervisor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,99321
7556906,,,Active,Pre-Apprenticeship,,Nation of Code,"4608 12TH STREET NE WASHINGTON, DC 20017",Learning to Code,,,,,,,,test test test,Incomplete,,,test data for github,,,,N,,,"Need higher limits, ABC not certificate holder, ABC not additionally insured, WC Missing, Liability Missing",Albertha,Pallotto,testemail(at)test,Instructor,Confidential Missing; Contact Info Missing; Education Form Missing; Experience Form Missing; MR Ack Missing; MR Cert Missing; NSOPW Missing; PACR (ORG) Missing; Social Media Policy Missing,ABC Missing; XYZ Exempt; IJK Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Sloane,,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Science,,,98685
7670691,North/Northwest,Full Year,Active,Apprenticeship,,Theatre Company Inc,"4523 7TH STREET NE WASHINGTON, DC 20017",Theater Ensemble Workshop,,,,22032222,,Approved/Locked,,test test test,Complete,8/30/2016,3/5/2019,test data for github,5/2/2019,3/13/2019,5/2/2019,Y,6/30/2020,8/20/2019,OK,Albertina,Palm,testemail(at)test,Community Liaison; Instructor,,,Verline,Panos,testemail(at)test,Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muriel Colette,Chris Sorensen,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Performance Arts,Theatre,92859
7670696,North/Northwest,Full Year,Active,Apprenticeship,,Inc,"4518 6TH PLACE NE WASHINGTON, DC 20017",Slam Poetry Group,,,,22032223,,Approved/Locked,,test test test,Complete,3/23/2015,1/4/2019,test data for github,5/21/2019,3/18/2019,5/21/2019,Y,6/30/2020,5/24/2019,OK,Albertine,Palma,testemail(at)test,Community Liaison; Instructor,,,Vern,Panowicz,testemail(at)test,Instructor,,,Yevette,Elroy,testemail(at)test,Instructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chadwick Hopkins,Chris Sorensen,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Performance Arts,Spoken Word,93028
7670722,North/Northwest,Full Year,Active,Internship,,Boys & Girl Club,"4515 6TH PLACE NE WASHINGTON, DC 20017",Community Builders,,,,62030066,,Approved/Locked,,test test test,Complete,3/7/2018,1/5/2018,test data for github,5/6/2019,3/18/2019,5/6/2019,Y,6/30/2020,5/24/2019,OK,Alberto,Palmateer,testemail(at)test,Community Liaison,,XYZ Exempt,Verna,Panozzo,testemail(at)test,Community Liaison; Site Supervisor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Goth,Rebecca Deane,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Communications & Leadership,Social Science,Education & Training,93013
7670767,North/Northwest,Full Year,Active,Apprenticeship,,Community Ceter Inc,"4517 6TH PLACE NE WASHINGTON, DC 20017",Connect the Community,,,,22032094,,Approved/Locked,,test test test,Complete,3/7/2018,7/30/2019,test data for github,6/5/2019,3/13/2019,6/5/2019,Y,6/30/2020,4/4/2019,OK,Albina,Palmatier,testemail(at)test,Community Liaison,,XYZ Exempt,Vernell,Panrell,testemail(at)test,Community Liaison; Instructor,,XYZ Exempt,Ying,Elsaesser,testemail(at)test,Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Fisher,Selena Miller,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Visual Art,Printmaking,93396
7670767,South/Southwest,Full Year,Active,Apprenticeship,,American Service League,"4507 6TH PLACE NE WASHINGTON, DC 20017",Creativity in the Community,,,,42032209,,Approved/Locked,,test test test,Complete,3/7/2018,4/1/2019,test data for github,10/15/2019,3/13/2019,5/16/2019,Y,6/30/2020,11/8/2019,OK,Alda,Palmberg,testemail(at)test,Community Liaison; Instructor,,XYZ Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nia Marshall,Yesenia Alvarez,,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test at test (test(at)testdotcom,test(at)testdotcom,Arts,Music,Singing,92939
